Seeds, policy, tree, tree 40 eps, tree 100 eps, tree 200 eps
464, -105.0, -105.0, -105.0, -105.0, -105.0
208, -105.0, -106.0, -105.0, -105.0, -105.0
617, -104.0, -104.0, -105.0, -104.0, -104.0
172, -105.0, -107.0, -106.0, -106.0, -105.0
573, -104.0, -104.0, -104.0, -104.0, -104.0
983, -105.0, -105.0, -105.0, -105.0, -105.0
699, -105.0, -106.0, -105.0, -105.0, -105.0
901, -104.0, -104.0, -105.0, -104.0, -104.0
709, -104.0, -105.0, -104.0, -103.0, -104.0
874, -105.0, -105.0, -105.0, -105.0, -105.0
